                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2685,                 90.207,                 1.2907,                      0,                      0,                      0,                      0,                0.02768,                 135.26,                0.01566,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.23234,                 87.269,                0.13517,                      0,                      0,                      0,                      0,                0.02755,                 135.53,                0.01559,             8.3212e-05,             8.3212e-05,             8.3212e-05
                      3,                0.37071,                  85.53,                0.20788,                      0,                      0,                      0,                      0,                0.02741,                 135.85,                0.01552,             0.00013292,             0.00013292,             0.00013292
                      4,                 2.2027,                 84.586,                 1.2954,                      0,                      0,                      0,                      0,                0.02733,                    136,                0.01548,             0.00018246,             0.00018246,             0.00018246
                      5,                 1.8142,                 81.481,                 1.0511,                      0,                      0,                      0,                      0,                0.02734,                 135.96,                0.01549,             0.00023184,             0.00023184,             0.00023184
                      6,                0.38285,                 77.395,                0.21491,                      0,                      0,                      0,                      0,                 0.0274,                 135.79,                0.01552,             0.00028105,             0.00028105,             0.00028105
                      7,                 0.3289,                 74.992,                0.18885,                      0,                      0,                      0,                      0,                0.02753,                 135.38,                0.01559,              0.0003301,              0.0003301,              0.0003301
                      8,                 0.8621,                 73.333,                 0.4997,                      0,                      0,                      0,                      0,                0.02769,                    135,                0.01566,             0.00037898,             0.00037898,             0.00037898
                      9,                0.04375,                 70.561,                0.02432,                      0,                      0,                      0,                      0,                0.02807,                 133.05,                0.01585,              0.0004277,              0.0004277,              0.0004277
                     10,                0.15086,                 68.188,                0.08337,                      0,                      0,                      0,                      0,                0.02832,                 131.37,                0.01597,             0.00047625,             0.00047625,             0.00047625
