                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1034,                 51.552,                 4.2299,                      0,                      0,                      0,                      0,                 0.3592,                 88.321,                0.20524,                      0,                      0,                      0
                      2,                 5.0787,                 116.07,                 2.8078,                      0,                      0,                      0,                      0,                0.35874,                 88.336,                0.20501,             1.6649e-05,             1.6649e-05,             1.6649e-05
                      3,                 1.0581,                 113.48,                0.61393,                      0,                      0,                      0,                      0,                0.35831,                  88.39,                 0.2048,             3.3257e-05,             3.3257e-05,             3.3257e-05
                      4,                  7.155,                 76.273,                 4.2397,                      0,                      0,                      0,                      0,                  0.358,                 88.433,                0.20465,             4.9824e-05,             4.9824e-05,             4.9824e-05
                      5,                  4.978,                 112.93,                 3.3158,                      0,                      0,                      0,                      0,                0.35771,                 88.472,                0.20451,              6.635e-05,              6.635e-05,              6.635e-05
                      6,                  1.018,                 109.88,                0.59693,                      0,                      0,                      0,                      0,                0.35739,                 88.541,                0.20436,             8.2834e-05,             8.2834e-05,             8.2834e-05
                      7,                 7.0248,                 44.307,                 4.2344,                      0,                      0,                      0,                      0,                0.35718,                 88.626,                0.20426,             9.9277e-05,             9.9277e-05,             9.9277e-05
                      8,                0.27383,                 107.92,                0.15747,                      0,                      0,                      0,                      0,                0.35711,                 88.673,                0.20423,             0.00011568,             0.00011568,             0.00011568
                      9,                0.59312,                 107.38,                0.33974,                      0,                      0,                      0,                      0,                0.35708,                 88.723,                0.20422,             0.00013204,             0.00013204,             0.00013204
                     10,                0.19932,                 105.94,                0.11467,                      0,                      0,                      0,                      0,                0.35713,                 88.764,                0.20425,             0.00014836,             0.00014836,             0.00014836
                     11,                  7.187,                 102.25,                 4.2791,                      0,                      0,                      0,                      0,                0.35729,                 88.785,                0.20434,             0.00016464,             0.00016464,             0.00016464
                     12,                 5.6067,                 107.07,                 3.2928,                      0,                      0,                      0,                      0,                0.35769,                 88.803,                0.20455,             0.00018087,             0.00018087,             0.00018087
                     13,                0.30149,                  102.4,                0.17204,                      0,                      0,                      0,                      0,                0.35824,                  88.82,                0.20483,             0.00019707,             0.00019707,             0.00019707
                     14,                0.07202,                 101.04,                0.04118,                      0,                      0,                      0,                      0,                0.35886,                 88.792,                0.20515,             0.00021322,             0.00021322,             0.00021322
                     15,                0.05912,                 99.745,                0.03308,                      0,                      0,                      0,                      0,                0.35959,                 88.756,                0.20552,             0.00022934,             0.00022934,             0.00022934
                     16,                 7.0628,                 30.431,                 4.1273,                      0,                      0,                      0,                      0,                0.36114,                 88.719,                0.20632,             0.00024541,             0.00024541,             0.00024541
                     17,                 3.4683,                 97.422,                 1.9741,                      0,                      0,                      0,                      0,                0.36306,                 88.629,                0.20731,             0.00026144,             0.00026144,             0.00026144
                     18,                0.46412,                 94.302,                0.26351,                      0,                      0,                      0,                      0,                0.36306,                 88.629,                0.20731,             0.00027743,             0.00027743,             0.00027743
                     19,                  7.147,                 64.135,                 4.0518,                      0,                      0,                      0,                      0,                0.36624,                 88.559,                0.20895,             0.00029338,             0.00029338,             0.00029338
                     20,                0.16971,                 92.918,                0.09622,                      0,                      0,                      0,                      0,                0.36624,                 88.559,                0.20895,             0.00030928,             0.00030928,             0.00030928
                     21,                 4.3166,                 95.188,                 2.4074,                      0,                      0,                      0,                      0,                0.37038,                 88.446,                0.21106,             0.00032515,             0.00032515,             0.00032515
                     22,                  1.596,                 91.456,                0.89042,                      0,                      0,                      0,                      0,                0.37038,                 88.446,                0.21106,             0.00034097,             0.00034097,             0.00034097
                     23,                 7.0712,                 81.281,                 3.9162,                      0,                      0,                      0,                      0,                0.37599,                 88.255,                0.21392,             0.00035676,             0.00035676,             0.00035676
                     24,                0.16436,                 87.875,                0.09113,                      0,                      0,                      0,                      0,                0.37599,                 88.255,                0.21392,              0.0003725,              0.0003725,              0.0003725
                     25,                0.05862,                  89.01,                0.03139,                      0,                      0,                      0,                      0,                0.38301,                 87.784,                0.21747,              0.0003882,              0.0003882,              0.0003882
                     26,                 7.0978,                 51.967,                 3.9321,                      0,                      0,                      0,                      0,                0.38301,                 87.784,                0.21747,             0.00040386,             0.00040386,             0.00040386
                     27,                 6.5753,                 89.916,                 3.5394,                      0,                      0,                      0,                      0,                0.39268,                 86.824,                0.22234,             0.00041947,             0.00041947,             0.00041947
                     28,                 4.0364,                 85.625,                 2.0931,                      0,                      0,                      0,                      0,                0.39268,                 86.824,                0.22234,             0.00043505,             0.00043505,             0.00043505
                     29,                 7.0139,                 89.046,                 3.7325,                      0,                      0,                      0,                      0,                0.40685,                 85.372,                0.22944,             0.00045059,             0.00045059,             0.00045059
                     30,                 3.2774,                 84.452,                 1.6782,                      0,                      0,                      0,                      0,                0.40685,                 85.372,                0.22944,             0.00046608,             0.00046608,             0.00046608
                     31,                 7.1675,                 79.379,                 3.8315,                      0,                      0,                      0,                      0,                0.42709,                   83.6,                0.23953,             0.00048153,             0.00048153,             0.00048153
                     32,                0.18921,                 80.863,                 0.0928,                      0,                      0,                      0,                      0,                0.42709,                   83.6,                0.23953,             0.00049695,             0.00049695,             0.00049695
                     33,                 6.9467,                 36.489,                 3.6911,                      0,                      0,                      0,                      0,                0.45943,                 81.716,                0.25555,             0.00051232,             0.00051232,             0.00051232
                     34,                  1.827,                 80.865,                0.89529,                      0,                      0,                      0,                      0,                0.45943,                 81.716,                0.25555,             0.00052764,             0.00052764,             0.00052764
                     35,                 7.1347,                 62.934,                 3.4396,                      0,                      0,                      0,                      0,                0.51019,                 79.215,                0.28052,             0.00054293,             0.00054293,             0.00054293
                     36,                 6.9725,                 29.725,                 3.3695,                      0,                      0,                      0,                      0,                0.51019,                 79.215,                0.28052,             0.00055818,             0.00055818,             0.00055818
                     37,                 7.0615,                 35.635,                 3.3644,                      0,                      0,                      0,                      0,                0.59827,                 76.463,                0.32355,             0.00057338,             0.00057338,             0.00057338
                     38,                 7.1426,                 18.044,                 3.4552,                      0,                      0,                      0,                      0,                0.59827,                 76.463,                0.32355,             0.00058855,             0.00058855,             0.00058855
                     39,                 7.1224,                 75.866,                 4.0332,                      0,                      0,                      0,                      0,                 0.7173,                 74.164,                0.38072,             0.00060367,             0.00060367,             0.00060367
                     40,                 7.0525,                 45.854,                 3.3366,                      0,                      0,                      0,                      0,                 0.7173,                 74.164,                0.38072,             0.00061875,             0.00061875,             0.00061875
                     41,                0.36383,                 77.159,                0.18233,                      0,                      0,                      0,                      0,                0.89038,                 71.582,                0.46261,             0.00063379,             0.00063379,             0.00063379
                     42,                 6.9671,                 58.083,                 3.2641,                      0,                      0,                      0,                      0,                0.89038,                 71.582,                0.46261,             0.00064879,             0.00064879,             0.00064879
                     43,                 7.0287,                 29.405,                 3.1661,                      0,                      0,                      0,                      0,                 1.1034,                 67.187,                0.56143,             0.00066375,             0.00066375,             0.00066375
                     44,                  6.691,                 12.035,                 3.1406,                      0,                      0,                      0,                      0,                 1.1034,                 67.187,                0.56143,             0.00067867,             0.00067867,             0.00067867
                     45,                 6.7647,                 15.729,                 3.0028,                      0,                      0,                      0,                      0,                 1.2392,                 63.248,                0.62337,             0.00069354,             0.00069354,             0.00069354
                     46,                 6.7747,                 19.252,                 2.9843,                      0,                      0,                      0,                      0,                 1.2392,                 63.248,                0.62337,             0.00070838,             0.00070838,             0.00070838
                     47,                 6.9043,                 24.508,                 2.8718,                      0,                      0,                      0,                      0,                  1.317,                 60.963,                0.65809,             0.00072317,             0.00072317,             0.00072317
                     48,                 6.7805,                  18.02,                 2.7391,                      0,                      0,                      0,                      0,                  1.317,                 60.963,                0.65809,             0.00073792,             0.00073792,             0.00073792
                     49,                 5.3294,                 7.4943,                 2.3948,                      0,                      0,                      0,                      0,                0.96385,                 59.905,                  0.494,             0.00075263,             0.00075263,             0.00075263
                     50,                  5.983,                 12.512,                 2.6896,                      0,                      0,                      0,                      0,                0.96385,                 59.905,                  0.494,              0.0007673,              0.0007673,              0.0007673
                     51,                 4.5718,                 6.7521,                 2.4811,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00078193,             0.00078193,             0.00078193
                     52,                 5.8301,                 7.8159,                 2.5405,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00079651,             0.00079651,             0.00079651
                     53,                 5.2998,                 6.1069,                 2.3165,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00081106,             0.00081106,             0.00081106
                     54,                 5.7142,                 13.833,                 2.9374,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00082556,             0.00082556,             0.00082556
                     55,                 4.3238,                 5.7424,                  2.294,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00084003,             0.00084003,             0.00084003
                     56,                 5.1933,                 5.4438,                 2.2991,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00085445,             0.00085445,             0.00085445
                     57,                 5.9528,                 7.4726,                 2.6413,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00086883,             0.00086883,             0.00086883
                     58,                 5.1911,                  6.199,                 2.1776,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00088317,             0.00088317,             0.00088317
                     59,                 5.1709,                   6.19,                 2.4467,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00089746,             0.00089746,             0.00089746
                     60,                  4.625,                  5.227,                  2.305,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00091172,             0.00091172,             0.00091172
                     61,                 5.4381,                 5.7797,                 2.2056,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00092594,             0.00092594,             0.00092594
                     62,                 5.0983,                 5.7564,                 2.2669,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00094011,             0.00094011,             0.00094011
                     63,                 5.4539,                 5.3675,                 2.2281,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00095424,             0.00095424,             0.00095424
                     64,                 4.0185,                 5.2617,                 1.8244,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00096833,             0.00096833,             0.00096833
                     65,                 4.7607,                 5.3546,                 2.2654,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00098238,             0.00098238,             0.00098238
                     66,                 4.4551,                 4.5022,                 2.1406,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,             0.00099639,             0.00099639,             0.00099639
                     67,                 4.6085,                 5.0034,                 1.9083,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,              0.0010104,              0.0010104,              0.0010104
                     68,                 4.4784,                 4.4383,                 1.9025,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,              0.0010243,              0.0010243,              0.0010243
                     69,                 4.1909,                 4.3723,                 1.7988,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,              0.0010382,              0.0010382,              0.0010382
                     70,                 4.4544,                 4.3605,                 1.9607,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,               0.001052,               0.001052,               0.001052
                     71,                 4.9216,                 4.4746,                 2.0838,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,              0.0010658,              0.0010658,              0.0010658
                     72,                 4.9705,                 4.6036,                 1.8278,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,              0.0010796,              0.0010796,              0.0010796
                     73,                 4.7479,                 4.1886,                 1.8298,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,              0.0010933,              0.0010933,              0.0010933
                     74,                 4.8726,                 3.8675,                 1.8798,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,               0.001107,               0.001107,               0.001107
                     75,                 4.0271,                 3.7943,                 1.6846,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011206,              0.0011206,              0.0011206
                     76,                 4.6662,                 4.0287,                 1.9399,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011342,              0.0011342,              0.0011342
                     77,                  4.285,                 3.8221,                 1.8657,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011478,              0.0011478,              0.0011478
                     78,                 4.2184,                 3.6031,                 1.9568,                      0,                      0,                      0,                      0,                0.00467,                 46.039,                0.00565,              0.0011613,              0.0011613,              0.0011613
